Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
IP,201045.0,688125.0,SC/X/F,SC,X,F,2022,2022_round1.pdf
IP,239952.0,873844.0,SC/X/OP,SC,X,OP,2022,2022_round1.pdf
IT,17902.0,19897.0,FW/OP,FW,OP,,2022,2022_round1.pdf
IT,21079.0,26905.0,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
IT,18631.0,27174.0,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
IT,26012.0,29804.0,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf
IT,26950.0,33030.0,EWS,EWS,,,2022,2022_round1.pdf
IT,28884.0,36842.0,OBC/X/F,OBC,X,F,2022,2022_round1.pdf
IT,28577.0,37407.0,UR/X/F,UR,X,F,2022,2022_round1.pdf
IT,42293.0,52893.0,UR/S/OP,UR,S,OP,2022,2022_round1.pdf
IT,54533.0,54533.0,OBC/S/OP,OBC,S,OP,2022,2022_round1.pdf
IT,89869.0,89869.0,UR/S/F,UR,S,F,2022,2022_round1.pdf
IT,94027.0,94027.0,OBC/NCC/OP,OBC,NCC,OP,2022,2022_round1.pdf
IT,122082.0,122082.0,UR/H/OP,UR,H,OP,2022,2022_round1.pdf
IT,66133.0,133986.0,SC/X/OP,SC,X,OP,2022,2022_round1.pdf
IT,115214.0,185545.0,SC/X/F,SC,X,F,2022,2022_round1.pdf
IT,258845.0,258845.0,UR/NCC/F,UR,NCC,F,2022,2022_round1.pdf
IT,199111.0,284991.0,ST/X/OP,ST,X,OP,2022,2022_round1.pdf
IT,287836.0,326620.0,ST/X/F,ST,X,F,2022,2022_round1.pdf
IT,376358.0,376358.0,OBC/H/OP,OBC,H,OP,2022,2022_round1.pdf
IT,605140.0,605140.0,UR/FF/F,UR,FF,F,2022,2022_round1.pdf
MECH,50615.0,67876.0,FW/OP,FW,OP,,2022,2022_round1.pdf
MECH,59412.0,68136.0,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
MECH,50023.0,77476.0,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
MECH,63146.0,77872.0,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf
MECH,68157.0,84360.0,EWS,EWS,,,2022,2022_round1.pdf
"Electronics 
and 
Telecommunic
ations",31766.0,40507.0,FW/OP,FW,OP,,2022,2022_round2.pdf
