branch,opening_rank,closing_rank,category,domicile,year,source_file
IP,44504,75111,UR/X/OP,Y,2020,2020_round1.pdf
IP,63965,78762,EWS,Y,2020,2020_round1.pdf
IP,48279,95912,UR/X/F,Y,2020,2020_round1.pdf
IP,112671,112964,OBC/X/F,Y,2020,2020_round1.pdf
IP,273271,273271,UR/S/OP,Y,2020,2020_round1.pdf
IP,352405,354675,SC/X/F,Y,2020,2020_round1.pdf
IP,307098,430354,SC/X/OP,Y,2020,2020_round1.pdf
IP,625437,625437,OBC/FF/OP,Y,2020,2020_round1.pdf
IP,385866,780792,ST/X/F,Y,2020,2020_round1.pdf
IP,571179,986083,ST/X/OP,Y,2020,2020_round1.pdf
IT,17316,18761,FW/OP,Y,2020,2020_round1.pdf
IT,16380,21146,UR/X/OP,AI,2020,2020_round1.pdf
IT,15677,21551,UR/X/OP,Y,2020,2020_round1.pdf
IT,19294,24695,EWS,Y,2020,2020_round1.pdf
IT,16624,26179,OBC/X/OP,Y,2020,2020_round1.pdf
IT,20404,26367,UR/X/F,Y,2020,2020_round1.pdf
IT,34783,39634,OBC/X/F,Y,2020,2020_round1.pdf
IT,43406,43406,UR/S/OP,Y,2020,2020_round1.pdf
IT,46775,46775,OBC/NCC/OP,Y,2020,2020_round1.pdf
IT,65581,65581,UR/H/OP,Y,2020,2020_round1.pdf
IT,91342,116407,SC/X/OP,Y,2020,2020_round1.pdf
IT,161169,173559,SC/X/F,Y,2020,2020_round1.pdf
IT,175061,175061,UR/S/F,Y,2020,2020_round1.pdf
IT,248170,248170,OBC/H/OP,Y,2020,2020_round1.pdf
IT,275863,275863,UR/FF/F,Y,2020,2020_round1.pdf
IT,226138,365101,ST/X/OP,Y,2020,2020_round1.pdf
IT,350259,425173,ST/X/F,Y,2020,2020_round1.pdf
IT,473855,473855,SC/S/OP,Y,2020,2020_round1.pdf
MECH,29734,38924,FW/OP,Y,2020,2020_round1.pdf
MECH,37494,48185,EWS,Y,2020,2020_round1.pdf
MECH,35387,49786,UR/X/OP,AI,2020,2020_round1.pdf
MECH,11523,50029,UR/X/OP,Y,2020,2020_round1.pdf
MECH,40241,50370,OBC/X/OP,Y,2020,2020_round1.pdf
MECH,37884,62936,UR/X/F,Y,2020,2020_round1.pdf
MECH,84172,84172,OBC/S/OP,Y,2020,2020_round1.pdf
MECH,80565,84550,OBC/X/F,Y,2020,2020_round1.pdf
MECH,101247,121074,UR/S/OP,Y,2020,2020_round1.pdf
MECH,197776,197776,UR/NCC/OP,Y,2020,2020_round1.pdf
MECH,128781,220361,SC/X/OP,Y,2020,2020_round1.pdf
MECH,164274,291075,SC/X/F,Y,2020,2020_round1.pdf
MECH,377586,377586,UR/FF/OP,Y,2020,2020_round1.pdf
MECH,232031,393398,ST/X/OP,Y,2020,2020_round1.pdf
MECH,402388,534787,ST/X/F,Y,2020,2020_round1.pdf
ENTC,281301,320121,ST/X/OP,Y,2020,2020_round2.pdf
ENTC,912305,912305,UR/H/OP,Y,2020,2020_round2.pdf
EE,35068,39039,EWS,Y,2020,2020_round2.pdf
EE,34833,45282,FW/OP,Y,2020,2020_round2.pdf
EE,42791,45469,UR/X/OP,AI,2020,2020_round2.pdf
EE,36831,45833,UR/X/OP,Y,2020,2020_round2.pdf
EE,48073,49115,OBC/X/OP,Y,2020,2020_round2.pdf
EE,44926,53023,UR/X/F,Y,2020,2020_round2.pdf
EE,183255,183255,SC/X/OP,Y,2020,2020_round2.pdf
EE,295377,295377,ST/X/OP,Y,2020,2020_round2.pdf
EI,42191,43398,UR/X/F,Y,2020,2020_round2.pdf
EI,35569,43483,FW/OP,Y,2020,2020_round2.pdf
EI,32777,45744,UR/X/OP,Y,2020,2020_round2.pdf
EI,47345,47345,UR/X/OP,AI,2020,2020_round2.pdf
EI,50431,50431,OBC/X/OP,Y,2020,2020_round2.pdf
EI,37264,52738,EWS,Y,2020,2020_round2.pdf
EI,372901,372901,ST/X/OP,Y,2020,2020_round2.pdf
EI,426587,610672,ST/X/F,Y,2020,2020_round2.pdf
IP,51992,51992,FW/OP,Y,2020,2020_round2.pdf
IP,60393,60393,OBC/X/OP,Y,2020,2020_round2.pdf
IP,50839,65908,UR/X/OP,AI,2020,2020_round2.pdf
IP,61807,79276,UR/X/F,Y,2020,2020_round2.pdf
IP,57092,80564,UR/X/OP,Y,2020,2020_round2.pdf
IP,154457,154457,OBC/X/F,Y,2020,2020_round2.pdf
IP,246556,268432,SC/X/OP,Y,2020,2020_round2.pdf
IP,479998,653170,ST/X/OP,Y,2020,2020_round2.pdf
IP,758769,758769,ST/X/F,Y,2020,2020_round2.pdf
IT,20549,22786,FW/OP,Y,2020,2020_round2.pdf
IT,20677,27473,UR/X/OP,Y,2020,2020_round2.pdf
IT,24545,27728,UR/X/OP,AI,2020,2020_round2.pdf
IT,23166,28839,EWS,Y,2020,2020_round2.pdf
IT,24868,30737,UR/X/F,Y,2020,2020_round2.pdf
IT,34732,35714,OBC/X/OP,Y,2020,2020_round2.pdf
IT,80422,91837,OBC/X/F,Y,2020,2020_round2.pdf
IT,129507,176662,SC/X/OP,Y,2020,2020_round2.pdf
IT,168966,204400,SC/X/F,Y,2020,2020_round2.pdf
IT,287874,287874,ST/X/OP,Y,2020,2020_round2.pdf
IT,522986,522986,OBC/H/OP,Y,2020,2020_round2.pdf
IT,800497,800497,UR/H/OP,Y,2020,2020_round2.pdf
MECH,36896,44397,FW/OP,Y,2020,2020_round2.pdf
MECH,47403,47403,UR/X/OP,AI,2020,2020_round2.pdf
MECH,18808,50397,UR/X/OP,Y,2020,2020_round2.pdf
MECH,36757,50398,EWS,Y,2020,2020_round2.pdf
MECH,44504,50721,OBC/X/OP,Y,2020,2020_round2.pdf
MECH,46596,56141,UR/X/F,Y,2020,2020_round2.pdf
MECH,130980,136646,SC/X/OP,Y,2020,2020_round2.pdf
MECH,232707,232707,SC/X/F,Y,2020,2020_round2.pdf
MECH,276005,297123,ST/X/OP,Y,2020,2020_round2.pdf
MECH,395644,395644,ST/X/F,Y,2020,2020_round2.pdf
EI,563189,722290,ST/X/F,Y,2021,2021_round1.pdf
EI,589106,741077,ST/X/OP,Y,2021,2021_round1.pdf
IP,89115,92351,FW/OP,Y,2021,2021_round1.pdf
IP,80106,103367,UR/X/OP,AI,2021,2021_round1.pdf
IP,91131,107760,EWS,Y,2021,2021_round1.pdf
IP,69685,131849,UR/X/OP,Y,2021,2021_round1.pdf
IP,128308,132260,OBC/X/F,Y,2021,2021_round1.pdf
IP,95516,135635,OBC/X/OP,Y,2021,2021_round1.pdf
IP,64560,137789,UR/X/F,Y,2021,2021_round1.pdf
IP,314715,314715,UR/S/OP,Y,2021,2021_round1.pdf
IP,319493,499182,SC/X/OP,Y,2021,2021_round1.pdf
IP,444371,537033,SC/X/F,Y,2021,2021_round1.pdf
IP,379818,632437,ST/X/OP,Y,2021,2021_round1.pdf
IT,17301,21140,FW/OP,Y,2021,2021_round1.pdf
IT,19401,24455,UR/X/OP,AI,2021,2021_round1.pdf
IT,20961,26913,EWS,Y,2021,2021_round1.pdf
IT,18805,27959,UR/X/OP,Y,2021,2021_round1.pdf
IT,18487,31227,UR/X/F,Y,2021,2021_round1.pdf
IT,34253,34253,OBC/NCC/OP,Y,2021,2021_round1.pdf
IT,28125,34372,OBC/X/OP,Y,2021,2021_round1.pdf
IT,39302,39302,UR/S/OP,Y,2021,2021_round1.pdf
IT,34470,40035,OBC/X/F,Y,2021,2021_round1.pdf
IT,110250,132532,SC/X/OP,Y,2021,2021_round1.pdf
IT,148607,148607,UR/S/F,Y,2021,2021_round1.pdf
IT,155314,194307,SC/X/F,Y,2021,2021_round1.pdf
IT,308951,308951,UR/FF/F,Y,2021,2021_round1.pdf
IT,237547,314426,ST/X/OP,Y,2021,2021_round1.pdf
IT,277779,324852,ST/X/F,Y,2021,2021_round1.pdf
IT,469279,469279,UR/H/OP,Y,2021,2021_round1.pdf
IT,553899,553899,OBC/H/OP,Y,2021,2021_round1.pdf
MECH,47863,54759,UR/X/OP,AI,2021,2021_round1.pdf
MECH,45383,59588,FW/OP,Y,2021,2021_round1.pdf
MECH,73814,73814,UR/S/OP,Y,2021,2021_round1.pdf
MECH,45487,74995,OBC/X/OP,Y,2021,2021_round1.pdf
MECH,65135,75318,EWS,Y,2021,2021_round1.pdf
MECH,23603,77707,UR/X/OP,Y,2021,2021_round1.pdf
MECH,82698,94180,OBC/X/F,Y,2021,2021_round1.pdf
MECH,50507,97570,UR/X/F,Y,2021,2021_round1.pdf
MECH,152952,152952,UR/FF/OP,Y,2021,2021_round1.pdf
MECH,167089,167089,UR/NCC/OP,Y,2021,2021_round1.pdf
MECH,142870,283634,SC/X/OP,Y,2021,2021_round1.pdf
MECH,347555,347555,UR/S/F,Y,2021,2021_round1.pdf
MECH,250893,390941,SC/X/F,Y,2021,2021_round1.pdf
MECH,198582,493461,ST/X/OP,Y,2021,2021_round1.pdf
MECH,400434,503532,ST/X/F,Y,2021,2021_round1.pdf
EE,22129,33944,OBC/X/OP,Y,2021,2021_round2.pdf
EE,28744,39738,UR/X/OP,Y,2021,2021_round2.pdf
EE,35058,40523,UR/X/OP,AI,2021,2021_round2.pdf
EE,37448,42403,EWS,Y,2021,2021_round2.pdf
EE,36674,48975,UR/X/F,Y,2021,2021_round2.pdf
EE,54385,54385,OBC/X/F,Y,2021,2021_round2.pdf
EE,110143,110143,SC/X/F,Y,2021,2021_round2.pdf
EE,147876,147876,OBC/H/F,Y,2021,2021_round2.pdf
EE,178106,199389,ST/X/OP,Y,2021,2021_round2.pdf
EE,678330,678330,SC/S/OP,Y,2021,2021_round2.pdf
EI,35557,35557,FW/OP,Y,2021,2021_round2.pdf
EI,30762,36967,UR/X/OP,Y,2021,2021_round2.pdf
EI,37098,37098,UR/X/OP,AI,2021,2021_round2.pdf
EI,40160,40160,UR/X/F,Y,2021,2021_round2.pdf
EI,41159,41159,OBC/X/OP,Y,2021,2021_round2.pdf
EI,46729,46729,EWS,Y,2021,2021_round2.pdf
EI,59678,69761,OBC/X/F,Y,2021,2021_round2.pdf
EI,90059,90059,UR/FF/OP,Y,2021,2021_round2.pdf
EI,161453,161453,ST/X/OP,Y,2021,2021_round2.pdf
EI,257153,257153,ST/X/F,Y,2021,2021_round2.pdf
IP,55669,61013,UR/X/F,Y,2021,2021_round2.pdf
