branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file,domicile
IP,44504,75111,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,Y
IP,63965,78762,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,Y
IP,48279,95912,UR/X/F,UR,X,F,2020,2020_round1.pdf,Y
IP,112671,112964,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,Y
IP,273271,273271,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,Y
IP,352405,354675,SC/X/F,SC,X,F,2020,2020_round1.pdf,Y
IP,307098,430354,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,Y
IP,625437,625437,OBC/FF/OP,OBC,FF,OP,2020,2020_round1.pdf,Y
IP,385866,780792,ST/X/F,ST,X,F,2020,2020_round1.pdf,Y
IP,571179,986083,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,Y
IT,17316,18761,FW/OP,FW,OP,OP,2020,2020_round1.pdf,Y
IT,16380,21146,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,AI
IT,15677,21551,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,Y
IT,19294,24695,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,Y
IT,16624,26179,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,Y
IT,20404,26367,UR/X/F,UR,X,F,2020,2020_round1.pdf,Y
IT,34783,39634,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,Y
IT,43406,43406,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,Y
IT,46775,46775,OBC/NCC/OP,OBC,NCC,OP,2020,2020_round1.pdf,Y
IT,65581,65581,UR/H/OP,UR,H,OP,2020,2020_round1.pdf,Y
IT,91342,116407,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,Y
IT,161169,173559,SC/X/F,SC,X,F,2020,2020_round1.pdf,Y
IT,175061,175061,UR/S/F,UR,S,F,2020,2020_round1.pdf,Y
IT,248170,248170,OBC/H/OP,OBC,H,OP,2020,2020_round1.pdf,Y
IT,275863,275863,UR/FF/F,UR,FF,F,2020,2020_round1.pdf,Y
IT,226138,365101,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,Y
IT,350259,425173,ST/X/F,ST,X,F,2020,2020_round1.pdf,Y
IT,473855,473855,SC/S/OP,SC,S,OP,2020,2020_round1.pdf,Y
MECH,29734,38924,FW/OP,FW,OP,OP,2020,2020_round1.pdf,Y
MECH,37494,48185,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,Y
MECH,35387,49786,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,AI
MECH,11523,50029,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,Y
MECH,40241,50370,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,Y
MECH,37884,62936,UR/X/F,UR,X,F,2020,2020_round1.pdf,Y
MECH,84172,84172,OBC/S/OP,OBC,S,OP,2020,2020_round1.pdf,Y
MECH,80565,84550,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,Y
MECH,101247,121074,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,Y
MECH,197776,197776,UR/NCC/OP,UR,NCC,OP,2020,2020_round1.pdf,Y
MECH,128781,220361,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,Y
MECH,164274,291075,SC/X/F,SC,X,F,2020,2020_round1.pdf,Y
MECH,377586,377586,UR/FF/OP,UR,FF,OP,2020,2020_round1.pdf,Y
MECH,232031,393398,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,Y
MECH,402388,534787,ST/X/F,ST,X,F,2020,2020_round1.pdf,Y
CE,133549,218749,FW/OP,FW,OP,OP,2020,2020_round1.pdf,Y
CE,532334,978090,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,Y
CSE,761958,761958,FW/OP,FW,OP,OP,2020,2020_round1.pdf,Y
CSE,836832,836832,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,Y
CSE,257305,983900,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,Y
EC,281301,320121,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
EC,912305,912305,UR/H/OP,UR,H,OP,2020,2020_round2.pdf,Y
EE,35068,39039,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,Y
EE,34833,45282,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
EE,42791,45469,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,AI
EE,36831,45833,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
EE,48073,49115,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
EE,44926,53023,UR/X/F,UR,X,F,2020,2020_round2.pdf,Y
EE,183255,183255,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,Y
EE,295377,295377,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
EI,42191,43398,UR/X/F,UR,X,F,2020,2020_round2.pdf,Y
EI,35569,43483,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
EI,32777,45744,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
EI,47345,47345,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,AI
EI,50431,50431,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
EI,37264,52738,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,Y
EI,372901,372901,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
EI,426587,610672,ST/X/F,ST,X,F,2020,2020_round2.pdf,Y
